#CODE;RUSSIAN;x
#TITLE_CREATION_HAS_OWNER;Вы не можете создавать или узурпировать титулы, пока владеете временным титулом.;x
GENERAL_CLOSE_KIN_UNION;С тех пор, как §Y[ActorExtra.GetFirstName]§! есть §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, образуется священный союз, который удовлетворит всех вассалов этой веры.;x
EVTDESC502;Как дети Адама и Евы в незапамятные времена, так и [From.GetTitledFirstName] и [From.GetAbsPossPronoun] [GetFromVsNewRelation] [New.GetTitledFirstName] сформировали священный союз. Мы можем собрать королевские пожертвования, чтобы оплатить церемонии.;x
PAULICIAN_PATRIARCH;Павликианский Патриарх;x
d_saint_addai;Орден Святого Фаддея;x
d_saint_addai_adj;Фаддейск;x
expelled_d_saint_addai;Изгнал Орден Святого Фаддея;x
expel_order_of_addai;Изгнать Орден Святого Фаддея;x
expel_order_of_addai_desc;Я могу изгнать Орден Святого Фаддея из своих земель и захватить его замки. Однако, это нечестивый поступок...;x
donate_money_to_order_of_addai;Пожертвовать 300¤ Ордену св. Фаддея;x
donate_money_to_order_of_addai_desc;Я могу передать деньги Ордену Святого Фаддея в обмен на благочестие и пожизненное уважение, которым наградит меня [Root.Religion.GetName] в лице его Церкви.;x
EVTTITLE_SOA_2809;Орден Святого Фаддея;x
EVTDESC_SOA_2809;Необходимость защиты святых мест несторианского христианства побудила Католикоса, известного как [Root.RelHead.GetTitledName], объявить о создании святого братства монахов-воинов - Ордена Святого Фаддея, названного в честь апостола, который распространял христианство в Сирии и Месопотамии. Они готовы поразить язычников и неверных, и защитить праведников во имя любого правителя, исповедующего [Root.Religion.GetName], который согласится их финансировать.;x
EVTOPTA_SOA_2809;Да будут они всегда победителями!;x
EVTOPTB_SOA_2809;Очередные агнцы на заклание.;x
EVTDESC_SOA_2831;Мой [GetFromRelation] [From.GetTitledFirstName] требует присоединения к ордену Святого Аддаи в их борьбе с неверными, даже если это лишит его наследия.;x
EVTTOOLTIP_SOA_2832;[This.GetTitledFirstName] стал Рыцарем Святого Аддай.;x
EVTDESC_SOA_2853;[Root.PrimaryTitle.GetFOA], ордену Святого Аддаи нужно больше крепостей для тренировки пехоты и производства дохода. Есть подходящее место в Вашем государстве - [FromFrom.GetName], если быть точным. Я предоставляю Вам 100 золотых в обмен на право построить здесь крепость.\nPax Christi,\nВеликий Магистр [From.GetFirstName];x
EVTDESC_SOA_2854;Орден Святого Аддаи основал замок в месте, известном как [Root.GetName]!;x
EVTDESC_SOA_2861;Ваше величество, эта вражда абсолютно неоправданна! Орден Святого Аддаи служит Христу, но служите ли ему Вы?\nСо злостью и скорбью,\nВеликий Магистр [From.GetFirstName];x
EVTDESC60200;Молодой воин, Сельджук, сын Токаки Железного Лука из племени Киника, стал чем-то вроде легенды, совершив несколько потрясающих подвигов. Я считаю, что нужно предоставить место этому выдающемуся человеку при моём дворе.;x
EVTOPTA60200;Он несёт стражу...;x
EVTDESC60201;Мои люди обеспокоены и мои амбиции не могут больше ждать. Мне следует выбрать хорошую цель и призвать племя к войне!;x
EVTOPTA60201;Мерв лучше всех!;x
EVTOPTB60201;Хорасан выглядит естественнее;x
EVTOPTC60201;Дихистан богат и слаб;x
EVTOPTD60201;Сначала Самарканд!;x
EVTOPTE60201;Балх... да.;x
EVTDESC60205;[From.GetBestName], возможно, лучший воин моего государства, призывает племя и многих страждущих к войне, высказав желание забрать земли, известную как [FromFrom.Duchy.GetFullBaseName] у правителя по имени [FromFrom.Holder.TopLiege.GetBestName]!;x
EVTOPTA60205;Мне будет его не хватать, но желаю ему удачи!;x
EVTDESC60204;Мое племя, воинственное Киника, стоит позади меня, пока я иду завоевывать [From.Duchy.GetAdjective]ую землю. Пусть [From.Holder.TopLiege.GetTitledFirstName] дрожит от страха!;x
EVTOPTA60204;Седлайте моего коня!;x
EVTNAME60206;Великий Сельджук;x
EVTDESC60206;В степях Центральной Азии великий воин, ставший лидером племени Киника из Огуз Тюрков, демонстрирует свои способности, побеждая в битвах против могущественного правителя по имени [FromFrom.GetTitledName]. Другие племена видят это, и воины всех мастей стекаются под его знамена толпами. Сельджук Хан обещал им целое состояние в дальнейших грабежах!;x
EVTOPTA60206;Это только начало!;x
EVTOPTB60206;Он заслужил доверие всех Тюрков!;x
EVTOPTC60206;Тюркские ханы приходят и уходят;x
EVTDESC60207;Тюркские воины из родных земель продолжают прибывать в большом количестве, в надежде послужить в армиях великого наследника Сельджуков. С такими воинами я добьюсь чего угодно!;x
EVTOPTA60207;Сельджуки были бы горды их наследником!;x
EVTDESC60307;Всадники из Великих Степей продолжают прибывать в большом количестве, в надежде послужить в армиях Тимура, преемника Хана. С такими воинами я добьюсь чего угодно!;x
EVTOPTA60307;Железный Хан гордился бы!;x
EVTDESC60300;Прекрасный всадник и дерзкий налётчик по имени Тимур отличился уже несколько раз. Мои командиры все согласны с мнением, что нужно предоставить этому выдающемуся юноше шанс проявить себя как лидера, вне зависимости от того, косолапый он или нет.;x
EVTOPTA60300;Потенциальный соперник?;x
EVTOPTA60305;До тех пор пока он не обратится против меня!;x
EVTDESC60304;Во время сражений за моего сюзерена, ко мне присоединилась большая группа верных последователей - храбрых всадников. Вместо восстания против моего старого сюзерена, я принимаю решение напасть на [From.Duchy.GetAdjective]ую землю. Пускай же [From.Holder.TopLiege.GetTitledFirstName] дрожит в ужасе!;x
EVTNAME60306;Великий Железный Хан;x
EVTDESC60306;Другой Великий Хан появился в Центральной Азии. Тимур, по прозвищу "Хромой", доказал свою состоятельность как сильного лидера в среде Татаро-Монгольских племён региона. Похоже он собирается создать империю достойную легендарного Чингиз Хана, т. к. он только что сокрушил правителя по имени [FromFrom.GetTitledName] в жестокой войне. Десятки тысяч опытных степных всадников собрались под его началом!;x
EVTOPTA60306;Я перерождённый Тэмуджин!;x
EVTOPTB60306;Он делает честь всем монголам!;x
EVTOPTC60306;Эти лорды степей достаточно стойкие!;x
IS_NOT_WITHIN_DIPLO_RANGE;Вне зоны дипломатической досягаемости;x
IS_WITHIN_DIPLO_RANGE;В пределах зоны дипломатической досягаемости;x
manifest_destiny_invasion_desc;Мои притязания позволяют мне вторгнуться в земли правителя по имени §Y$TARGET$§!. В случае успеха, все владения, которые контролирует §Y$TARGET$§! в пределах земли, известной как §Y$TITLE$§! будут захвачены или вассализированы.;x
emperor_dravidian_group;Самрат;x
emperor_female_dravidian_group;Самрани;x
king_dravidian_group;Магараджа;x
king_female_dravidian_group;Магарани;x
duke_dravidian_group;Раджа;x
duke_female_dravidian_group;Рани;x
count_dravidian_group;Тхакур;x
count_female_dravidian_group;Тхакурани;x
baron_dravidian_group;Дамапати;x
baron_female_dravidian_group;Дамапатни;x
title_prince_c_indian;Раджкумар;x
title_prince_female_c_indian;Раджкумари;x
duchy_dravidian_group;Радж;x
county_dravidian_group;Тхикана;x
barony_dravidian_group;Дама;x
duchy_of_dravidian_group;Радж;x
county_of_dravidian_group;Тхикана;x
barony_of_dravidian_group;Дама;x
emperor_indo_aryan_group;Самрат;x
emperor_female_indo_aryan_group;Самрани;x
king_indo_aryan_group;Махараджа;x
king_female_indo_aryan_group;Махарани;x
duke_indo_aryan_group;Раджа;x
duke_female_indo_aryan_group;Рани;x
count_indo_aryan_group;Тхакур;x
count_female_indo_aryan_group;Тхакурани;x
baron_indo_aryan_group;Дамапати;x
baron_female_indo_aryan_group;Дамапатни;x
title_prince_indo_aryan_group;Раджкумар;x
title_prince_female_indo_aryan_group;Раджкумари;x
duchy_indo_aryan_group;Радж;x
county_indo_aryan_group;Тхикана;x
barony_indo_aryan_group;Дама;x
duchy_of_indo_aryan_group;Радж;x
county_of_indo_aryan_group;Тхикана;x
barony_of_indo_aryan_group;Дама;x
temple_kingdom_of_hindu;Храм;x
temple_kingdom_of_buddhist;Монастырь;x
temple_kingdom_of_jain;Монастырь;x
temple_duchy_of_hindu;Храм;x
temple_duchy_of_buddhist;Монастырь;x
temple_duchy_of_jain;Монастырь;x
temple_county_of_hindu;Храм;x
temple_county_of_buddhist;Монастырь;x
temple_county_of_jain;Монастырь;x
#temple_barony_of_hindu;Храм;x
#temple_barony_of_buddhist;Монастырь;x
#temple_barony_of_jain;Монастырь;x
temple_county_of_indian_group;Теократия;x
temple_duchy_of_indian_group;Теократия;x
temple_kingdom_of_indian_group;Теократия;x
temple_baron_hindu;Пуджари;x
temple_baron_buddhist;Бхиккху;x
temple_baron_jain;Ниргрантха;x
temple_count_hindu;Пуджари;x
temple_count_buddhist;Бхиккху;x
temple_count_jain;Ниргантха;x
temple_duke_hindu;Пуджари;x
temple_duke_buddhist;Бхиккху;x
temple_duke_jain;Ниргантха;x
temple_king_hindu;Пуджари;x
temple_king_buddhist;Бхиккху;x
temple_king_jain;Ниргантха;x
SM_WINDOWMODE;Оконный режим;x
FULLSCREEN;Полный экран;x
BORDERLESS_WINDOW;Без рамок;x
WINDOWED;Оконный;x
married_monkey;Этот человек с браке с обезьяной...;x
good_times;Этот человек отлично провёл время!;x
good_hunt;Успешная охота.;x
HAS_LOWER_PIETY_THAN;[Player.Religion.GetPietyName] составляет меньше чем ;x
HAS_HIGHER_PIETY_THAN;[Player.Religion.GetPietyName] составляет больше чем ;x
PIETY_EFFECT;$PIETYNAME$ $DIRECTION$ $VALUE$.\n;x
LIEGE_PIETY_BUILDING;$PIETYNAME$ сюзерену: §G+$VALUE$§!;x
LIEGE_PIETY_SELF;$PIETYNAME$ от собственных зданий: §G+$VALUE$§!;x
LIEGE_PIETY;$PIETYNAME$ от зданий вассалов: §G+$VALUE$§!;x
STAT_PIETY_HONOR;Престиж;x
STAT_PIETY_DESC_HONOR;Честь уважаема духовенством, особенно, главой религии. Её можно использовать для обращений к главе религии. Как и престиж, она добавляется к Вашему счёту после смерти.;x
MONTHLY_PIETY_HONOR;Ежемесячный прирост престижа;x
LIEGE_IS_JAIN;Сюзерен - Джайн;x
HAS_HEIR_DESIGNATION;Можно назначить наследника;x
HAS_NOT_HEIR_DESIGNATION;Нельзя назначить наследника;x
title_designated_heir;Назначенный наследник;x
title_designated_heir_desc;Назначить этого персонажа Вашим наследником;x
COUNTS_AS_DESIGNATED_HEIR;Отмечает персонажа наследником;x
PIECE;Часть;x
AIREASON_WILL_NOT_MARRY_OTHER_CAST;§Y[GetTitledFirstName]§! не может вступать в брак с представителем другой касты;x
STAT_PIETY_KARMA;Карма;x
STAT_PIETY_DESC_KARMA;Карма уважаема духовенством и монахами. Как и престиж, она добавляется к Вашему счёту после смерти.;x
MONTHLY_PIETY_KARMA;Месячный рост кармы;x
STAT_PIETY_PURITY;Благочестие;x
STAT_PIETY_DESC_PURITY;Благочестие уважаемо духовенством и монахами, а также влияет на лояльность Ваших джайнистских вассалов. Как и престиж, оно добавляется к Вашему счёту после смерти.;x
MONTHLY_PIETY_PURITY;Ежемесячный прирост благочестия;x
convert_to_spouse_hindu;Принять Индуизм;x
convert_to_spouse_hindu_desc;Разговор в постели с женой или наложницей может быть особенно убедительным... Древний Индуизм с его множеством могучих божеств, наверняка, будет шагом вперёд...;x
convert_to_spouse_buddhist;Принять Буддизм;x
convert_to_spouse_buddhist_desc;Разговор в постели с женой или наложницей может быть особенно убедительным... Просветление и осознание как путь окончания страданий звучит весьма здраво...;x
convert_to_spouse_jain;Принять Джайнизм;x
convert_to_spouse_jain_desc;Разговор в постели с женой или наложницей может быть особенно убедительным... Совершенствование духа и стремление к полной непогрешимости, действительно, путь к освобождению...;x
SPECIAL_TROOPS;Специальные отряды;x
horse_archers;Конные лучники;x
EVTDESC_RoI_1000;Чтобы провести сезонное празднование подобающе, необходимо пригласить всех Ваших вассалов. Ваш писец составил и разослал приглашения. Сумки посланцев украшены цветочным орнаментом.;x
EVTOPTA_RoI_1000;Это будет прекрасный праздник!;x
EVTTOOLTIP1_RoI_1000;Приглашения разосланы.;x
EVTDESC_RoI_1001;Дражайший вассал, \nПриглашаю Вас присоединиться к празднованию Дивали.\nВаш сюзерен, \n [From.GetFullName].;x
EVTOPTA_RoI_1001;Разумеется я приму участие.;x
EVTOPTB_RoI_1001;У меня нет времени на это.;x
EVTDESC_RoI_1940;Дражайший вассал, \nПриглашаю Вас присоединиться к празднованию Кали Пуджа.\nВаш сюзерен, \n [From.GetFullName].;x
EVTOPTA_RoI_1940;Разумеется я приму участие.;x
EVTOPTB_RoI_1940;У меня нет времени на это.;x
EVTDESC_RoI_1002;Ваш вассал [From.GetFullName] не принял Ваше приглашение;x
EVTOPTA_RoI_1002;Я это запомню...;x
EVTDESC_RoI_1005;Во время осенних индийских праздников, супруги дарят друг другу подарки. Вам необходимо подобрать что-то подходящее до начала мероприятия.;x
EVTOPTA_RoI_1005;Драгоценное колье отлично подойдёт.;x
EVTOPTB_RoI_1005;Возможно, небольшой флакон парфюма подойдёт.;x
EVTOPTC_RoI_1005;Она обойдётся без подарков.;x
EVTOPTD_RoI_1005;Лучше я потрачу деньги на любовницу...;x
EVTOPTE_RoI_1005;Великолепная лошадь его порадует!;x
EVTOPTF_RoI_1005;Хорошей накидки будет достаточно.;x
EVTOPTG_RoI_1005;Он обойдётся без подарков.;x
EVTOPTH_RoI_1005;Лучше я потрачу деньги на моего любовника...;x
EVTDESC_RoI_1006;В соответствии с традицией, Вы можете преподнести подарок своему возлюбленному во время осеннего фестиваля.;x
EVTOPTA_RoI_1006;Я куплю ей дорогое украшение.;x
EVTOPTB_RoI_1006;Небольшой флакон парфюма подойдёт.;x
EVTOPTC_RoI_1006;Она обойдётся без подарков.;x
EVTOPTD_RoI_1006;Я куплю ему великолепную лошадь!;x
EVTOPTE_RoI_1006;Эта славная накидка отлично подойдёт.;x
EVTOPTF_RoI_1006;Он обойдётся без подарков.;x
EVTDESC_RoI_1007;Настало время традиционной церемонии вручения подарков...;x
EVTOPTA_RoI_1007;Моя жена в восторге от великолепного подарка!;x
EVTOPTB_RoI_1007;Моя жена довольна подарком.;x
EVTOPTC_RoI_1007;Моя жена обижена - я ничего не подарил.;x
EVTOPTD_RoI_1007;Моя любовница безумно рада подарку! Но жена расстроена...;x
EVTOPTE_RoI_1007;Моя любовница безумно рада подарку!;x
EVTOPTF_RoI_1007;Моя любовница довольна подарком. Но жена расстроена...;x
EVTOPTG_RoI_1007;Моя любовница довольна подарком.;x
EVTOPTH_RoI_1007;Моя любовница разочарована - я ничего не подарил.;x
EVTOPTI_RoI_1007;Мой муж безумно рад подарку!;x
EVTOPTJ_RoI_1007;Мой муж доволен подарком.;x
EVTOPTK_RoI_1007;Мой муж расстроен, потому что я ничего не подарила.;x
EVTOPTL_RoI_1007;Мой любовник безумно рад подарку! Но муж расстроен...;x
EVTOPTM_RoI_1007;Мой любовник безумно рад подарку!;x
EVTOPTN_RoI_1007;Мой любовник доволен подарком. Но муж расстроен...;x
EVTOPTO_RoI_1007;Мой любовник доволен подарком.;x
EVTOPTP_RoI_1007;Мой любовник расстроен - я ничего не подарила.;x
EVTDESC_RoI_1020;Замок украшен цветами и гобеленами, коврами и лентами. Все гости прибыли, нетерпеливые и полные праздничного настроения. Пир начинается!;x
EVTOPTA_RoI_1020;Добро пожаловать!;x
EVTDESC_RoI_1996;Пир окончен, и он был замечательным. Когда все гости разъехались, Вы довольно улыбаетесь - как же всё хорошо прошло.;x
EVTOPTA_RoI_1996;Надо повторить в следующем году!;x
EVTDESC_RoI_1997;Пир окончен, однако всё прошло не так гладко, как ожидалось. Когда гости разъехались, Вы задумались, что же пошло не так.;x
EVTOPTA_RoI_1997;Может быть в следующий раз будет лучше.;x
EVTDESC_RoI_1998;Пир окончен, и он был замечательным. По дороге домой, Вы думаете вернуться, если пригласят, в следующем году.;x
EVTOPTA_RoI_1998;Это было прекрасно!;x
EVTDESC_RoI_1999;Пир окончен, однако некоторые события не дали Вам в полной мере насладиться им. По дороге домой, Вы думаете о взлётах и падениях в жизни.;x
EVTOPTA_RoI_1999;Ну да ладно.;x
EVTDESC_RoI_1050;Заклинатель змей развлекает гостей. Он играет на флейте странные мелодии нескольким ядовитым змеям в корзинке. Толпа заворожена его способностями контролировать змей голосом и музыкой.;x
EVTOPTA_RoI_1050;Неописуемо!;x
EVTDESC_RoI_1051;Повсюду тишина, заклинатель змей продолжает свою магию. Но неожиданно Вы слышите пронзительный визг, а заклинатель змей выглядит озадаченным - похоже огромная кобра выбралась из корзины и ползёт по полу в сторону гостей!;x
EVTOPTA_RoI_1051;О нет!;x
EVTDESC_RoI_1052;Сбежавшая кобра исчезла под столом. Несколько мгновений тишины и снова визг. Кобра оказалась вплотную к одному гостю, испугав его до полусмерти! Змея тут же исчезла в открытом окне.;x
EVTOPTA_RoI_1052;Мы никогда больше не наймём его.;x
EVTDESC_RoI_1053;Заклинатель змей развлекает гостей. Он играет на флейте странные мелодии нескольким ядовитым змеям в корзинке. Но неожиданно Вы чувствуете, как нечто холодное и ползучее движется к Вам...;x
EVTOPTA_RoI_1053;Ааааа! Кобра!;x
EVTDESC_RoI_1054;Сбежавшая кобра исчезает под столом. Несколько мгновений тишины нарушает испуганный крик. Один из гостей трясется в диких конвульсиях, пока другие гости не могут отойти от шока, понимая, что змея укусила одного из гостей. Когда змея исчезла за окном, жертва уже перестала трястись и лежала мертвой.;x
EVTOPTA_RoI_1054;Горе!;x
EVTDESC_RoI_1055;Сбежавшая кобра ползет по полу. Все гости парализованы ужасом, кроме одного человека, который быстрым взмахом меча разрубает животное пополам.;x
EVTOPTA_RoI_1055;Молодец!;x
EVTDESC_RoI_1056;Заклинатель змей развлекает гостей, пока кобра не сбегает из корзины. Вы быстро хватаете свой меч и разрубаете животное пополам.;x
EVTOPTA_RoI_1056;Не пытайтесь повторить это дома.;x
EVTTITLE_RoI_1060;Сражение;x
EVTDESC_RoI_1060;Этот человек смотрел на Вас как-то непристойно весь праздник. Смеясь, с задними мыслями. Вы попытались козьим сыром в волосах отбиться от этого, однако его планы испугали Вас. Он хочет Ваше золото и... нижнее бельё.;x
EVTOPTA_RoI_1060;Дуэль! Я достану его мозг из черепа!;x
EVTOPTB_RoI_1060;Нет времени, нужно резвиться. Резвиться.;x
EVTDESC_RoI_1061;Голоса в Вашей голове высказали своё мнение. Давление нарастает, Вам нужно увидеть стекающую кровь, иначе Вы сойдете с ума. Любой за столом на празднике подойдет - а, этот годится!;x
EVTOPTA_RoI_1061;Ты, сволочь! Я вызываю тебя на дуэль!;x
EVTOPTB_RoI_1061;Сейчас не время... Нужно дышать...;x
EVTDESC_RoI_1062;Один из гостей на празднике бесцеремонно отворачивался от Вас, а теперь пролил соус на Вашу одежду. Вы уверены, что это было нарочно - или, по крайней мере, не случайно.;x
EVTOPTA_RoI_1062;Довольно! Вызываю Вас на дуэль!;x
EVTOPTB_RoI_1062;Нет, сейчас не подходящее время.;x
EVTDESC_RoI_1063;Вы наслаждаетесь фантастическим выступлением танцоров на празднике. Неожиданно, знакомый гуляка случайно натыкается на Вас, выбивая напиток из Вашей руки.;x
EVTOPTA_RoI_1063;Схватить его и вызвать на дуэль!;x
EVTOPTB_RoI_1063;Выместить свой гнев на мебели.;x
EVTDESC_RoI_1064;Человек, который бросал на Вас пронзительные взгляды во время праздника, безусловно, плетёт заговор с целью убить Вас. Лучше сразиться с ним сейчас в открытую, чем получить от него нож в спину позднее.;x
EVTOPTA_RoI_1064;Ты! Я вызываю тебя на дуэль!;x
EVTOPTB_RoI_1064;С другой стороны, возможно, это надуманно.;x
EVTDESC_RoI_1065;Какой прекрасный праздник! Вы много пили в последние дни, отвлекаясь только на сон. Шатаясь по окрестностям, Вы пытаетесь понять где находитесь. Сталкиваясь с людьми, Вы извиняетесь за свою неуклюжесть.\nСлуги подносят Вам кубок наполненный вином. Какой сегодня день? Похоже, что на Вас чужой наряд. Забавно! Кто-то пытается угомонить Вас, вот зануда! Другой пытается получить свою одежду назад, теперь они кричат и угрожают Вам!;x
EVTOPTA_RoI_1065;Что за... Испортили всё веселье... Зашибу!;x
EVTOPTB_RoI_1065;Хватит, давайте успокоимся и выпьем...;x
EVTDESC_RoI_1066;Знакомый гость на празднике явно выжил из ума и вызвал Вас на поединок. Похоже, что для этого нет веских причин, а поединки весьма опасны, однако, если откажетесь, будете трусом.;x
EVTOPTA_RoI_1066;Я принимаю вызов! Вы об этом пожалеете!;x
EVTOPTB_RoI_1066;Это безумие! Убирайтесь прочь!;x
EVTDESC_RoI_1067;Ваш предполагаемый оппонент отказываться от поединка!;x
EVTOPTA_RoI_1067;Я сожру твои мозги позже, трус!;x
EVTOPTB_RoI_1067;Но голоса...;x
EVTOPTC_RoI_1067;А, ясно, Вы трус.;x
EVTOPTD_RoI_1067;Проклятье!;x
EVTOPTE_RoI_1067;Вы делаете это назло мне!;x
EVTDESC_RoI_1068;Напряжение растёт. [From.GetTitlesName] вызывет на поединок человека, известного как [FromFrom.GetTitledName], но позднее отказывается от вызова, нанеся урон своей чести.;x
EVTOPTA_RoI_1068;Хорошо, что кровопролития удалось избежать.;x
EVTOPTB_RoI_1068;Какая досада, это освежило бы праздник.;x
EVTDESC_RoI_1069;Гости на празднике собираются вокруг, чтобы понаблюдать, как Вы и [FromFrom.GetFullName] вступили в поединок. Как бросившая вызов сторона, Вы имеете право выбрать оружие.;x
EVTOPTA_RoI_1069;Мечи;x
EVTOPTB_RoI_1069;Кинжалы;x
EVTOPTC_RoI_1069;Копья;x
EVTDESC_RoI_1070;[From.GetFullName] принимает Ваш вызов на дуэль. Как бросившая вызов сторона, Ваш оппонент может выбрать оружие для поединка, и выбирает мечи. Остальные гости на празднике собираются вокруг, чтобы понаблюдать за боем.;x
EVTOPTA_RoI_1070;Что ж, подайте меч.;x
EVTDESC_RoI_1071;[From.GetFullName] принимает Ваш вызов на дуэль. Как бросившая вызов сторона, Ваш оппонент может выбрать оружие для поединка, и выбирает кинжалы. Остальные гости на празднике собираются вокруг, чтобы понаблюдать за боем.;x
EVTOPTA_RoI_1071;Что ж, подайте кинжал.;x
EVTDESC_RoI_1072;[From.GetFullName] принимает Ваш вызов на дуэль. Как бросившая вызов сторона, Ваш оппонент может выбрать оружие для поединка, и выбирает копья. Остальные гости на празднике собираются вокруг, чтобы понаблюдать за боем.;x
EVTOPTA_RoI_1072;Что ж, подайте копьё.;x
EVTDESC_RoI_1073;Поединок вот-вот начнётся. Но сперва, Вам нужно решить, как Вы будете сражаться: с честью или грязно? Последний вариант, очевидно, увеличит Ваши шансы на победу, однако, вокруг собралась большая толпа и они всё увидят своими глазами.;x
EVTOPTA_RoI_1073;Честь - моя сила!;x
EVTOPTB_RoI_1073;Только глупцы сражаются честно.;x
EVTDESC_RoI_1075;Поединок начался. Вы кружите друг вокруг друга, внимательно наблюдая за противником и делая обманные движения в попытке отыскать слабые места и определить уровень мастерства. Блеснула сталь, знаменуя собой серию выпадов и контрвыпадов. Возгласы ужаса и облегчения слышаться из толпы, смешиваясь со звуками "поющей" стали и проклятиями дуэлянтов.;x
EVTOPTA_RoI_1075;Сосредоточься...;x
#EVTDESC_RoI_1951;Страсти накаляются! [FromFrom.GetFullName] бросил вызов [From.GetFullName]. Они уже во всеоружии и бой начинается незамедлительно. \n\nОба кружат вокруг друг друга, внимательно наблюдая за противником и делая обманные движения в попытке отыскать слабые места и определить уровень мастерства. Блеснула сталь, знаменуя собой серию выпадов и контрвыпадов. Возгласы ужаса и облегчения слышаться из толпы, смешиваясь со звуками 'поющей' стали и проклятиями дуэлянтов.;x
EVTOPTA_RoI_1951;Надеюсь, никто не погибнет.;x
EVTOPTB_RoI_1951;Надеюсь, мы увидим кровопролитие!;x
#EVTDESC_RoI_1080;Поединок окончен. [From.GetFullName] проиграл, получив незначительные ранения.;x
EVTOPTA_RoI_1080;Всё хорошо.;x
EVTOPTB_RoI_1080;Он сдался слишком легко!;x
#EVTDESC_RoI_1081;Поединок окончен. [From.GetFullName] проиграл и лежит сильно израненный на земле.;x
EVTOPTA_RoI_1081;Он храбро сражался.;x
#EVTDESC_RoI_1082;Поединок окончен. [From.GetFullName] проиграл и был ужасно искалечен.;x
#EVTDESC_RoI_1083;Поединок окончен. [From.GetFullName] был убит в схватке!;x
EVTDESC_RoI_1100;[From.GetTitled.FirstName] проводит финт и ловким ударом меча отбрасывает Вас к стене. Истекая кровью Вы падаете. Поединок проигран.;x
EVTOPTA_RoI_1100;К счастью, моё ранение легкое.;x
EVTOPTB_RoI_1100;Меня ранили!;x
EVTOPTC_RoI_1100;Меня искалечили!;x
EVTOPTD_RoI_1100;Похоже, это смертельная рана...;x
EVTDESC_RoI_1101;Вы пытаетесь наности рубящий удар по своему противнику, но промахиваетесь и открываетесь. Он использует Вашу ошибку, хватает Вас за пояс и, дёрнув на себя, наносит удар кинжалом снизу вверх. Клинок находит свою цель и Вы падаете, истекая кровью. Поединок проигран.;x
EVTDESC_RoI_1102;Вы проводите выпад в сторону в сторону противника, [From.GetTitled.FirstName] уворачивается и пнув Вас сбоку, выводит из равновесия. Сделав быстрый шаг вперёд, он проводит копьём выпад в грудь. Удар достигает цели и Вы падаете истекая кровью. Поединок проигран.;x
EVTDESC_RoI_1103;Ваш противник пятится назад, подбираясь поближе к толпе. Внезапно, он хватает одну зрительницу и толкает её на вас. Запутавшись Вы падаете, а оппонент наносит удар своим оружием. Ощутив острую боль, Вы вскрикиваете и женщина вместе с Вами. Поединок проигран.;x
EVTDESC_RoI_1104;Резким движением Вы выбиваете оружие из рук своего оппонента и прижимаете его к сервировочному столу. В отчаянии он хватает горсть фруктов и бросает их Вам под ноги. Вы подскальзываетесь и падаете! Схватив большой бараний окорок, [From.GetTitled.FirstName] начинает яростно дубасить Вас им. Это больно. Очень больно. Поединок проигран.;x
EVTDESC_RoI_1105;Ни одна из сторон не может получить преимущество в поединке. Внезапно, [From.GetTitled.FirstName] бросает дикий взгляд в толпу и кричит:;x
EVTDESC_RoI_1106;Вы активно прессингуете, осыпая градом ударов своего противника. Во время отступления он оступается и падает, сильно ударяясь головой, он теряет сознание. Улыбаясь, Вы оборачиваетесь к публике, чтобы выслушать поздравления. Спустя мгновение Вы чувствуете острую боль. Падая, Вы осознаёте, что [From.GetTitled.FirstName] прикинулся, чтобы нанести подлый удар в спину. Поединок проигран.;x
EVTDESC_RoI_1107;Оппоненты кружат вокруг друг друга, выжидая подходящий момент для атаки. [From.GetTitled.FirstName] отступает в направлении стражников у двери. Внезапно, он выхватывает лук у одного из них. Мгновением позже он пускает в Вас стрелу и Вы падаете. Поединок проигран.;x
EVTDESC_RoI_1110;Вы проводите обманное движение и ловким ударом меча отбрасываете противника к стене. Истекая кровью он падает. Поединок выигран.;x
EVTOPTA_RoI_1110;[From.GetTitled.FirstName] всего лишь легко ранен.;x
EVTOPTB_RoI_1110;[From.GetTitled.FirstName] лежит раненый.;x
EVTOPTC_RoI_1110;[From.GetTitled.FirstName] лежит искалеченный.;x
EVTOPTD_RoI_1110;[From.GetTitled.FirstName] убит.;x
EVTDESC_RoI_1111;[From.GetTitled.FirstName] наносит рубящий удар, но промахивается и открывается. Вы используете его ошибку, хватаете его за пояс и, дёрнув на себя, наносите удар кинжалом снизу вверх. Клинок находит свою цель и противник падает истекая кровью. Поединок выигран.;x
EVTDESC_RoI_1112;Вы уворачиваетесь от выпада противника и, пнув его сбоку, выводите его из равновесия. Сделав быстрый шаг вперёд, Вы проводите копьём выпад в грудь. Удар достигает цели и противник падает истекая кровью. Поединок выигран.;x
EVTDESC_RoI_1113;Вы пятитесь назад, подбираясь поближе к толпе. Внезапно Вы хватаете одну из зрительниц и толкаете её на противника. Запутавшись они падают, а Вы наносите несколько ударов своим оружием оба кричат. Поединок выигран.;x
EVTDESC_RoI_1114;прижимает Вас к сервировочному столу. В отчаянии Вы хватаете горсть фруктов и бросаете их ему под ноги. Он подскальзывается и падает! Схватив большой бараний окорок, Вы начинаете яростно дубасить его им. В конце концов, он затихает и не двигается. Поединок выигран.;x
